IDcyclist,gene_sz_lastname,gene_sz_firstname,gene_sz_firstlastname,fkIDteam,fkIDregion,fkIDcontract,fkIDprevcontract,fkIDnextcontract,gene_sz_photo,gene_i_birthdate,gene_f_popularity,gene_f_popularity_max,value_i_rank_voted,value_f_potentiel,value_f_current_ability,current_f_stage_score,fkIDrace,fkIDlaststage,fkIDcyclist_state,fkIDtype_rider,fkIDinjury,fkIDtga_skin,gene_i_size,gene_i_weight,prerace_i_cyclist,race_b_withdrawal,fkIDstaff_trainer,charac_i_plain,limit_i_plain,charac_i_mountain,limit_i_mountain,charac_i_medium_mountain,limit_i_medium_mountain,charac_i_downhilling,limit_i_downhilling,charac_i_cobble,limit_i_cobble,charac_i_timetrial,limit_i_timetrial,charac_i_prologue,limit_i_prologue,charac_i_sprint,limit_i_sprint,charac_i_acceleration,limit_i_acceleration,charac_i_endurance,limit_i_endurance,charac_i_resistance,limit_i_resistance,charac_i_recuperation,limit_i_recuperation,charac_i_hill,limit_i_hill,charac_i_baroudeur,limit_i_baroudeur,charac_bitfield_mental,charac_i_tour,charac_i_classic,fitness_i_handicap,gene_b_will_retire,fkIDtraining_camp,gene_i_dossard,gene_i_champion_bit,gene_b_nominated,CONSTANT,gene_sz_soundname,fkIDstate_roster,gene_b_inshortlist,gene_i_date_last_breakaway,gene_i_date_last_punchers,gene_ilist_fkIDfavorite_races,fkIDworkplan,bit_i_contrat_preference,value_f_capital,gene_i_ptmap,fkIDyear_progression,value_f_gain,value_i_trainingstyle,fkIDcontract_preference_preset,iContract_fidelity,iContract_refusal_cooldown,value_i_knowledge,fkIDcyclist_leader,value_i_yearneopro,gene_i_nb_total_victory,gene_i_nb_tdf,gene_i_nb_giro,gene_i_nb_vuelta,gene_i_nb_sanremo,gene_i_nb_flandres,gene_i_nb_roubaix,gene_i_nb_liege,gene_i_nb_lombardia
6670,Karaliok,Yauheni,Karaliok Y.,119,4301,0,0,0,ykaraliok,19960609,0.0,0.0,0,2.5,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,70,0,56,0,59,0,67,0,61,0,65,0,65,0,69,0,69,0,63,0,65,0,65,0,62,0,60,0,0,0,0,0,0,0,0,0,0,,Karaliok_Yauheni,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
6677,Sobal,Yauhen,Sobal Y.,119,4301,0,0,0,ysobal,19810407,0.0,0.0,0,2.5,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,70,0,64,0,65,0,69,0,57,0,66,0,65,0,63,0,61,0,66,0,65,0,67,0,66,0,67,0,0,0,0,0,0,0,0,0,0,,Sobal_Yauhen,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
6678,Strokau,Vasili,Strokau V.,119,4301,0,0,0,vstrokau,19951009,0.0,0.0,0,2.5,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,67,0,63,0,64,0,66,0,58,0,60,0,60,0,63,0,67,0,60,0,60,0,61,0,64,0,68,0,0,0,0,0,0,0,0,0,0,,Strokau_Vasili,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6685,Mansouri,Hamza,Mansouri H.,119,5501,0,0,0,,19990413,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,62,0,56,0,57,0,56,0,55,0,62,0,63,0,53,0,53,0,56,0,56,0,56,0,57,0,55,0,0,0,0,0,0,0,0,0,0,,Mansouri_Hamza,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6686,Mansouri,Islam,Mansouri I.,119,5501,0,0,0,,19970723,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,64,0,58,0,59,0,60,0,54,0,63,0,63,0,60,0,60,0,59,0,59,0,59,0,60,0,71,0,0,0,0,0,0,0,0,0,0,,Mansouri_Islam,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6687,Livyns,Arjen,Livyns A.,12,402,0,0,0,alivyns,19940901,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,170,58,0,0,0,69,0,62,0,67,0,71,0,74,0,63,0,65,0,66,0,72,0,67,0,68,0,66,0,73,0,71,0,0,1,4,0,0,0,0,0,0,,Livyns_Arjen,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2018,0,0,0,2,1,5,2,3,1
6688,Paret-Peintre,Aurélien,Paret-Peintre A.,3,322,0,0,0,aparet-peintre,19960227,0.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,184,64,0,0,0,70,0,75,0,77,0,76,0,67,0,69,0,66,0,70,0,71,0,73,0,72,0,73,0,77,0,71,0,0,4,4,0,0,0,0,0,0,,Paret-Peintre_Aurelien,0,0,0,0,"(87,74)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2018,4,4,3,0,1,1,0,6,4
6689,Vanhoucke,Harm,Vanhoucke H.,97,402,0,0,0,hvanhoucke,19970617,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,178,59,0,0,0,68,0,74,0,75,0,68,0,67,0,65,0,63,0,60,0,69,0,70,0,69,0,70,0,74,0,72,0,0,0,0,0,0,0,0,0,0,,Vanhoucke_Harm,0,0,0,0,"(172,135)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2018,0,1,4,2,0,0,0,2,3
6690,Covili,Luca,Covili L.,81,208,0,0,0,lcovili,19970210,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,180,58,0,0,0,66,0,72,0,72,0,72,0,64,0,62,0,63,0,61,0,64,0,67,0,66,0,71,0,71,0,74,0,0,0,0,0,0,0,0,0,0,,Covili_Luca,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,0,0,6,0,1,0,0,0,6
6692,Leknessund,Andreas,Leknessund A.,99,3501,0,0,0,aleknessund,19990521,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,185,72,0,0,0,75,0,71,0,74,0,64,0,66,0,74,0,74,0,58,0,70,0,72,0,71,0,71,0,75,0,75,0,0,4,2,0,0,0,0,129,0,,Leknessund_Andreas,0,0,0,0,(25),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2020,7,2,1,0,1,0,0,3,4
6700,Orocito,Franco,Orocito F.,119,4601,0,0,0,,19990330,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,175,64,0,0,0,59,0,62,0,63,0,66,0,56,0,53,0,57,0,57,0,55,0,53,0,54,0,56,0,64,0,63,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6703,Stewart,Campbell,Stewart C.,119,3401,0,0,0,cstewart,19980512,0.0,0.0,0,2.5,0.0,0.0,0,0,3,0,0,0,181,76,0,0,0,68,0,53,0,55,0,67,0,55,0,62,0,64,0,69,0,66,0,65,0,64,0,59,0,58,0,73,0,0,0,0,0,0,0,0,0,0,,Stewart_Campbell,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2022,1,0,1,0,0,1,1,0,0
6707,Jurado,Cristoff,Jurado C.,119,10201,0,0,0,,19951027,0.0,0.0,0,2.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,61,0,61,0,61,0,63,0,55,0,58,0,57,0,60,0,59,0,58,0,57,0,56,0,61,0,67,0,0,0,0,0,0,0,0,0,0,,Jurado_Cristoff,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
6711,Peñalver,Manuel,Peñalver M.,102,810,0,0,0,mpenalver,19981210,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,177,65,0,0,0,71,0,58,0,64,0,67,0,64,0,60,0,62,0,73,0,72,0,68,0,69,0,67,0,69,0,59,0,0,0,0,0,0,0,0,0,0,,Penalver_Manuel,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,2,0,0,1,0,0,0,0,0
6713,Zana,Filippo,Zana F.,10,206,0,0,0,fzana,19990318,0.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,185,65,0,0,0,68,0,76,0,77,0,78,0,66,0,64,0,64,0,65,0,73,0,72,0,73,0,75,0,76,0,72,0,0,2,3,0,0,0,0,2,0,,Zana_Filippo,0,0,0,0,(43),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2020,5,0,6,2,3,0,0,2,5
6717,Raileanu,Cristian,Raileanu C.,119,10401,0,0,0,,19930124,0.0,0.0,0,1.5,0.0,0.0,0,0,3,0,0,0,176,63,0,0,0,63,0,69,0,68,0,69,0,54,0,62,0,65,0,61,0,66,0,61,0,63,0,66,0,67,0,68,0,0,0,0,0,0,0,0,0,0,,Raileanu_Cristian,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
6718,Ozgur,Batuhan,Ozgur B.,119,7101,0,0,0,,19980201,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,65,0,54,0,56,0,65,0,54,0,57,0,62,0,68,0,69,0,60,0,59,0,58,0,58,0,61,0,0,0,0,0,0,0,0,0,0,,Ozgur_Batuhan,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6720,Märkl,Niklas,Märkl N.,15,711,0,0,0,nmarkl,19990303,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,185,70,0,0,0,71,0,58,0,60,0,68,0,66,0,62,0,67,0,70,0,68,0,68,0,66,0,69,0,64,0,65,0,0,0,0,0,0,0,0,0,0,,Markl_Niklas,0,0,0,0,(11),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2021,0,1,2,0,0,2,2,0,0
6721,Tu,Sergio,Tu S.,119,8401,0,0,0,stu,19970224,0.0,0.0,0,1.5,0.0,0.0,0,0,3,0,0,0,178,63,0,0,0,58,0,54,0,56,0,67,0,53,0,59,0,59,0,55,0,59,0,55,0,55,0,55,0,56,0,71,0,0,0,0,0,0,0,0,192,0,,Tu_Sergio,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2023,3,0,0,0,0,0,0,0,0
6722,Vanoverberghe,Jens,Vanoverberghe J.,119,402,0,0,0,,19990922,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,63,0,54,0,56,0,69,0,60,0,58,0,60,0,66,0,65,0,57,0,54,0,55,0,58,0,60,0,0,0,0,0,0,0,0,0,0,,Vanoverberghe_Jens,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6723,Berwick,Sebastian,Berwick S.,35,2001,0,0,0,sberwick,19991215,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,175,59,0,0,0,68,0,69,0,71,0,68,0,60,0,62,0,62,0,57,0,64,0,68,0,66,0,69,0,72,0,71,0,0,0,0,0,0,0,0,0,0,,Berwick_Sebastian,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2021,1,0,1,1,0,0,0,0,0
6730,Raugel,Antoine,Raugel A.,59,301,0,0,0,araugel,19990214,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,185,70,0,0,0,68,0,59,0,64,0,73,0,68,0,64,0,65,0,67,0,69,0,63,0,65,0,63,0,68,0,70,0,0,0,0,0,0,0,0,0,0,,Raugel_Antoine,0,0,0,0,(4),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2022,0,0,0,1,0,0,2,0,0
6738,Mozzato,Luca,Mozzato L.,125,201,0,0,0,lmozzato,19980215,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,178,67,0,0,0,73,0,59,0,64,0,73,0,75,0,62,0,61,0,73,0,75,0,72,0,72,0,66,0,73,0,72,0,0,0,0,0,0,0,0,0,0,,Mozzato_Luca,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2020,3,3,1,0,1,4,5,0,0
6739,Sobrero,Matteo,Sobrero M.,11,201,0,0,0,msobrero,19970514,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,177,63,0,0,0,72,0,69,0,72,0,71,0,64,0,77,0,76,0,68,0,65,0,69,0,70,0,76,0,74,0,62,0,0,3,2,0,0,0,0,1,0,,Sobrero_Matteo,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2020,3,1,3,2,3,0,0,2,4
6743,Grignard,Sébastien,Grignard S.,9,401,0,0,0,sgrignard,19990429,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,179,68,0,0,0,72,0,57,0,62,0,67,0,69,0,67,0,67,0,62,0,61,0,68,0,66,0,62,0,65,0,71,0,0,0,0,0,0,0,0,0,0,,Grignard_Sebastien,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2021,0,2,0,1,1,4,5,2,0
6745,Herregodts,Rune,Herregodts R.,16,402,0,0,0,rherregodts,19980727,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,181,70,0,0,0,74,0,66,0,72,0,74,0,71,0,73,0,74,0,65,0,68,0,70,0,72,0,66,0,72,0,73,0,0,2,2,0,0,0,0,0,0,,Herregodts_Rune,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2021,5,0,0,1,0,0,0,1,0
6746,Huys,Laurens,Huys L.,124,402,0,0,0,lhuys,19980924,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,172,61,0,0,0,68,0,71,0,71,0,70,0,66,0,62,0,60,0,57,0,67,0,67,0,68,0,70,0,71,0,71,0,0,0,0,0,0,0,0,0,0,,Huys_Laurens,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2020,0,0,2,1,0,0,0,4,3
6748,Marit,Arne,Marit A.,33,402,0,0,0,amarit,19990121,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,182,72,0,0,0,72,0,57,0,64,0,68,0,70,0,59,0,63,0,76,0,75,0,69,0,71,0,65,0,70,0,67,0,0,1,4,0,0,0,0,0,0,,Marit_Arne,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2021,1,0,1,2,0,2,1,0,0
6750,Van Gils,Maxim,Van Gils M.,33,402,0,0,0,mvangils,19991125,0.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,174,63,0,0,0,72,0,71,0,74,0,76,0,69,0,65,0,70,0,70,0,74,0,74,0,75,0,72,0,78,0,71,0,0,1,4,0,0,0,0,0,0,,Van-Gils_Maxim,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2021,7,2,0,2,4,0,0,3,3
6751,Van Poucke,Aaron,Van Poucke A.,119,402,0,0,0,,19980404,0.0,0.0,0,2.5,0.0,0.0,0,0,3,0,0,0,177,68,0,0,0,69,0,65,0,68,0,65,0,65,0,65,0,65,0,67,0,66,0,65,0,65,0,62,0,69,0,67,0,0,0,0,0,0,0,0,0,0,,Van-Poucke_Aaron,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,0,0,0,0,0,0,1,3,0
6753,Bonnet,Thomas,Bonnet T.,25,306,0,0,0,tbonnet,19980913,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,175,65,0,0,0,70,0,64,0,69,0,73,0,67,0,63,0,64,0,64,0,66,0,66,0,67,0,65,0,72,0,72,0,0,0,0,0,0,0,0,0,0,,Bonnet_Thomas,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2023,1,0,0,1,0,1,0,0,0
6755,Champion,Thomas,Champion T.,68,318,0,0,0,tchampion,19990908,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,193,70,0,0,0,70,0,70,0,72,0,67,0,65,0,63,0,63,0,55,0,59,0,70,0,66,0,66,0,71,0,73,0,0,0,0,0,0,0,0,0,0,,Champion_Thomas,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2021,0,0,2,2,1,0,0,0,2
6758,Tabellion,Valentin,Tabellion V.,119,318,0,0,0,vtabellion,19990323,0.0,0.0,0,1.5,0.0,0.0,0,0,3,0,0,0,175,72,0,0,0,69,0,56,0,61,0,67,0,64,0,61,0,61,0,70,0,69,0,62,0,64,0,61,0,65,0,58,0,0,0,0,0,0,0,0,0,0,,Tabellion_Valentin,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6763,Rouiller,Loris,Rouiller L.,119,1702,0,0,0,lrouiller,20000221,0.0,0.0,0,2.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,63,0,60,0,61,0,68,0,58,0,56,0,58,0,58,0,55,0,55,0,53,0,55,0,61,0,61,0,0,0,0,0,0,0,0,0,0,,Rouiller_Loris,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6764,van der Poel,Mathieu,van der Poel M.,37,507,0,0,0,mvanderpoel,19950119,88.0,0.0,0,6.0,0.0,0.0,0,0,3,0,0,0,184,75,0,0,0,80,0,60,0,64,0,84,0,82,0,74,0,77,0,75,0,81,0,83,0,82,0,70,0,77,0,76,0,0,1,5,0,0,0,0,34,0,MVDP,Van-Der-Poel_Mathieu,0,0,0,0,"(4,11,77)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,56,5,1,0,6,7,5,2,1
6766,Vermeersch,Gianni,Vermeersch G.,33,402,0,0,0,gvermeersch,19921119,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,173,65,0,0,0,75,0,64,0,68,0,78,0,76,0,65,0,70,0,72,0,71,0,74,0,74,0,66,0,74,0,69,0,0,1,4,0,0,0,0,0,0,,Vermeersch_Gianni,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,4,2,1,1,3,7,5,0,0
6768,Bouchard,Geoffrey,Bouchard G.,25,304,0,0,0,gbouchard,19920401,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,177,63,0,0,0,65,0,74,0,73,0,68,0,59,0,62,0,63,0,62,0,67,0,68,0,65,0,72,0,71,0,76,0,0,0,0,0,0,0,0,0,0,,Bouchard_Geoffrey,0,0,0,0,"(135,25,18)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,1,1,3,4,0,0,0,0,3
6770,Evenepoel,Remco,Evenepoel R.,33,402,0,0,0,revenepoel,20000125,88.0,0.0,0,6.0,0.0,0.0,0,0,3,0,0,0,171,64,0,0,0,83,0,80,81,81,0,70,0,70,68,83,84,80,0,68,64,70,0,81,0,77,0,75,0,81,0,76,0,0,4,4,0,0,0,0,1378,0,remco,Evenepoel_Remco,0,0,0,0,"(25,87,18)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,67,2,2,2,0,0,0,3,5
6771,Caicedo,Jonathan,Caicedo J.,119,9401,0,0,0,jcaicedo,19930428,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,168,62,0,0,0,64,0,71,0,72,0,65,0,60,0,66,0,66,0,61,0,69,0,67,0,65,0,69,0,71,0,71,0,0,0,0,0,0,0,0,3,0,,Caicedo_Jonathan,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2016,8,0,5,3,0,0,0,2,2
6773,Stannard,Robert,Stannard R.,13,2001,0,0,0,rstannard,19980916,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,179,68,0,0,0,70,0,71,0,72,0,67,0,72,0,67,0,66,0,67,0,72,0,69,0,70,0,69,0,73,0,59,0,0,0,0,0,0,0,0,0,0,,Stannard_Robert,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2018,0,1,0,3,5,2,2,3,2
6777,Pogačar,Tadej,Pogačar T.,16,2801,0,0,0,tpogacar,19980921,88.0,0.0,0,6.0,0.0,0.0,0,0,3,0,0,0,176,66,0,0,0,77,0,83,0,83,0,77,0,79,0,79,0,77,0,69,0,78,0,83,0,80,0,81,0,83,0,78,0,0,5,5,0,0,0,0,2563,0,,Pogacar_Tadej,0,0,0,0,"(172,175,11)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,108,6,1,1,5,3,1,6,5
6778,Morin,Emmanuel,Morin E.,119,318,0,0,0,emorin,19950313,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,178,72,0,0,0,69,0,57,0,61,0,66,0,66,0,59,0,62,0,71,0,71,0,65,0,66,0,66,0,68,0,61,0,0,0,0,0,0,0,0,0,0,,Morin_Emmanuel,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,0,0,0,2,0,0,0,0,1
6779,Giérin,Alexis,Giérin A.,105,302,0,0,0,,19920606,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,176,67,0,0,0,70,0,72,0,73,0,68,0,62,0,67,0,66,0,59,0,63,0,70,0,68,0,68,0,73,0,77,0,0,0,0,0,0,0,0,0,0,,Guerin_Alexis,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2018,5,0,0,0,0,1,0,1,0
6781,Riou,Alan,Riou A.,119,305,0,0,0,ariou,19970402,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,176,68,0,0,0,69,0,60,0,66,0,69,0,67,0,65,0,70,0,68,0,71,0,65,0,65,0,66,0,69,0,61,0,0,0,0,0,0,0,0,0,0,,Riou_Alan,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,1,0,2,0,0,0,1,1,0
6784,Einhorn,Itamar,Einhorn I.,42,7001,0,0,0,ieinhorn,19970920,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,172,72,0,0,0,70,0,56,0,59,0,70,0,69,0,60,0,65,0,73,0,71,0,65,0,67,0,65,0,66,0,63,0,0,0,0,0,0,0,0,0,0,,Einhorn_Itamar,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,9,0,0,2,0,1,1,0,0
6786,Muñoz,Daniel,Muñoz D.,119,1101,0,0,0,,19961121,0.0,0.0,0,2.5,0.0,0.0,0,0,3,0,0,0,174,57,0,0,0,59,0,73,0,72,0,63,0,55,0,58,0,58,0,57,0,61,0,62,0,63,0,68,0,70,0,63,0,0,0,0,0,0,0,0,0,0,,Munoz_Daniel,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,3,0,0,0,0,0,0,0,2
6790,Cañellas,Xavier,Cañellas X.,119,804,0,0,0,xcanellas,19970316,0.0,0.0,0,2.5,0.0,0.0,0,0,3,0,0,0,175,66,0,0,0,69,0,58,0,61,0,69,0,65,0,63,0,65,0,68,0,68,0,63,0,64,0,65,0,66,0,60,0,0,0,0,0,0,0,0,0,0,,Canellas_Xavier,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6791,González,David,González D.,97,808,0,0,0,dgonzalez,19960221,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,180,68,0,0,0,70,0,60,0,65,0,74,0,65,0,62,0,64,0,72,0,72,0,66,0,67,0,65,0,69,0,62,0,0,0,0,0,0,0,0,0,0,,Gonzalez_David,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,0,0,0,0,0,0,0,0,0
6792,Paasschens,Mathijs,Paasschens M.,13,501,0,0,0,mpaasschens,19960318,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,188,75,0,0,0,70,0,57,0,67,0,68,0,67,0,64,0,63,0,68,0,69,0,68,0,68,0,66,0,70,0,67,0,0,0,0,0,0,0,0,0,0,,Paasschens_Mathijs,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,0,0,0,1,0,2,1,7,1
6793,Berrade,Urko,Berrade U.,70,815,0,0,0,uberrade,19971128,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,184,68,0,0,0,72,0,73,0,74,0,70,0,62,0,70,0,70,0,59,0,62,0,69,0,71,0,71,0,73,0,75,0,0,0,0,0,0,0,0,0,0,,Berrade_Urko,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,1,0,0,2,0,0,0,1,0
6797,Rikunov,Petr,Rikunov P.,119,1501,0,0,0,prikunov,19970224,0.0,0.0,0,2.5,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,65,0,60,0,62,0,68,0,62,0,64,0,66,0,61,0,57,0,61,0,60,0,60,0,64,0,64,0,0,0,0,0,0,0,0,0,0,,Rikunov_Petr,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
6799,Fortunato,Lorenzo,Fortunato L.,12,208,0,0,0,lfortunato,19960509,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,170,59,0,0,0,68,0,76,0,77,0,74,0,58,0,59,0,60,0,59,0,71,0,74,0,73,0,74,0,75,0,78,0,0,0,0,0,0,0,0,0,0,,Fortunato_Lorenzo,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,6,0,5,2,0,0,0,1,6
6802,González,Roberto Carlos,González R.C.,93,10201,0,0,0,,19940521,0.0,0.0,0,2.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,63,0,63,0,64,0,62,0,57,0,59,0,56,0,63,0,63,0,61,0,58,0,62,0,66,0,60,0,0,0,0,0,0,0,0,0,0,,Gonzalez_Roberto-Carlos,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
6803,Osorio,Alejandro,Osorio A.,119,1101,0,0,0,aosorio,19980528,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,181,62,0,0,0,65,0,73,0,72,0,66,0,60,0,60,0,60,0,63,0,67,0,66,0,65,0,67,0,71,0,75,0,0,0,0,0,0,0,0,2,0,,Osorio_Alejandro,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
6804,Acosta,Ruben,Acosta R.,119,1101,0,0,0,racosta,19960820,0.0,0.0,0,2.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,60,0,68,0,66,0,61,0,55,0,56,0,56,0,54,0,56,0,59,0,57,0,60,0,64,0,58,0,0,0,0,0,0,0,0,0,0,,Acosta_Ruben,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6805,Lonardi,Giovanni,Lonardi G.,102,206,0,0,0,glonardi,19961109,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,180,70,0,0,0,72,0,61,0,65,0,69,0,67,0,60,0,63,0,76,0,76,0,67,0,69,0,71,0,71,0,64,0,0,0,0,0,0,0,0,0,0,,Lonardi_Giovanni,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2019,5,0,4,0,1,0,0,0,0
