IDrace,gene_sz_race_name,gene_sz_abbreviation,gene_sz_filename,fkIDcountry,fkIDrace_class,fkIDfirst_stage,fkIDlast_stage,gene_f_popularity,gene_i_number_stages,gene_sz_mailOrganisateur,gene_ilist_fkIDteam,CONSTANT,gene_sz_classification_xml,gene_f_organisateur_coeff,fkIDrace_type,gene_b_national_tour,fkID_iconic_region,gene_i_comfort,gene_b_aso,gene_sz_currentvariant,value_i_prime,gene_b_selected,value_i_offsetLeapYear
254,Bredene Koksijde,Brede,c0_bredene,4,16,1254,1254,10.0,1,organisateurs@bredenekoksijde.be,"(9,10,11,14,15,16,20,25,37,42,69,33,99,107,123,125,110,116)",bredenekoksijde,cont_1hc,0.0,17,0,0,3,0,,0,1,0
255,Route Loire Atlantique,LoireA,c1_loireat,3,18,1255,1255,10.0,1,organisateurs@rteloireatlantique.fr,"(103,35,59,68,124,126,162,110,207,96)",routeloireatlantique,cont_12,0.0,9,0,0,3,0,,0,1,0
261,GP de Plumelec,Plumel,c1_plumelec,3,16,1261,1261,15.0,1,organisateurs@gpmorbihan.fr,"(3,6,25,34,59,68,9,107,69,124,126)",gpmorbihan,cont_1hc,0.0,10,0,0,3,0,,0,1,0
262,GP de l'Aulne,Aulne,c1_aulne,3,17,1262,1262,15.0,1,organisateurs@gpaulne.fr,"(3,6,25,34,59,68,9,107,69,124,126)",gpaulne,cont_11,0.0,10,0,0,3,0,,0,1,0
273,Binche - Chimay,Binch,c1_binchetournai,4,17,1273,1273,10.0,1,organisateurs@binchetournaibinche.be,"(9,10,20,14,2,5,11,6,107,34,15,69,110,37)",binchetournaibinche,cont_11,0.0,17,0,0,3,0,,0,1,0
279,Paris - Troyes,Troyes,c2_paristroyes,3,18,1279,1279,9.0,1,organisateurs@paristroyes.fr,"(34,68,59,70,114,109,107,124,126)",paristroyes,cont_12,0.0,9,0,0,3,0,,0,1,0
280,Ieper-Wevelgem U23,IWeU23,u23_gwevelgem,4,19,1280,1280,10.0,1,organisateurs@kattekoers.be,"(69,68,110,150,158,237,242,209)",kattekoers,cont_12,0.0,17,0,0,3,0,,0,1,0
281,Istrian Trophy,Istria,t2_istriantrophy,44,12,1281,4281,5.0,4,organisateurs@istrianspringtrophy.com,"(93,81,163,112,135,211,152,114,216,40,162,225,233,50,214)",istrianspringtrophy,cont_22,0.0,4,0,0,2,0,,0,1,0
283,GP ao Alentejo,CAzul,t1_alentejo,29,12,1283,5283,5.0,5,organisateurs@gpcostaazul.pt,"(35,70,92,100,38,105,109,161)",gpcostaazul,cont_22,0.0,16,0,0,2,0,,0,1,0
286,Tour des Ardennes,Ardenn,t2_tourardennes,3,12,1286,4286,7.0,4,organisateurs@circuitardennes.fr,"(59,68,152,147,70,135,113,124,126)",circuitardennes,cont_22,0.0,5,0,0,1,0,,0,1,0
290,Championnats de France,N-FRA,nat-fra,3,22,1290,1290,50.0,1,organisateurs@france-ch.org,(),champ_france,default,0.0,9,0,0,3,0,,0,1,0
293,GP de Bessèges,Bessè,t1_besseges,3,11,1293,5293,25.0,5,organisateurs@besseges.fr,"(3,6,37,9,34,25,107,92,103,97,69,102,124,126,59,68)",besseges,cont_21,0.0,4,0,0,1,0,,0,1,0
294,Tour of Australia,Austra,top_australia,20,3,1294,6294,65.0,6,organisateurs@down-under.au,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,125)",down_under,top_australia,0.0,5,0,0,5,0,,0,1,0
296,Tour of Arctic,Arctic,t0_articnorway,35,10,1296,4296,25.0,4,organisateurs@artic-norway.com,"(14,10,9,11,3,2,5,69,34,6,15,25,33,161)",articracenorway,cont_2hc,0.0,5,0,0,4,0,,0,1,0
297,UAE Trophy,UAE,top_uaetour,105,5,1297,7297,65.0,7,organisateurs@uaetour.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,97,125,60)",uaetour,top_pologne,0.0,2,1,0,5,0,,0,1,0
298,Tour of Saudi Arabia,Saudi,t1_saudi,109,10,1298,5298,35.0,5,organisateurs@sauditour.com,"(13,11,97,20,16,10,15,12,125,34,25,35,60,95)",sauditour,cont_2hc,0.0,16,1,0,3,0,,0,1,0
299,Tour de Hongrie,Hongr,t0_hungarytour,40,10,1299,5299,30.0,5,organisateurs@hungarytour.com,"(16,2,20,11,15,33,13,12,102,125,9,97,69,100,93,107)",tourofhungary,cont_2hc,0.0,5,1,0,3,0,,0,1,0
300,Sardegna Mediterraneo,SardeM,t1_sardegna,2,11,1300,5300,10.0,5,organisateurs@sardegna.it,"(10,12,70,81,93,102,103,123,40,95,104,160,211,213,216,233)",girosardegna,cont_21,0.0,3,0,220,3,0,,0,1,1
301,Tour de Provence,TProv,t1_provence,3,11,1301,3301,15.0,3,organisateurs@tourlaprovence.fr,"(3,34,6,126,25,59,68,124,11,42,93,104)",tourlaprovence,cont_21,0.0,4,0,0,3,0,,0,1,0
302,GP de Marseille,Marsei,c1_gpmarseille,3,17,1302,1302,15.0,1,organisateurs@gp-ouverture.fr,"(3,6,25,34,59,68,9,107,69,124,126)",gpmarseille,cont_11,0.0,9,0,0,3,0,,0,1,0
304,Ruta de Andalucia,Andalu,t0_andalucia,8,10,1304,5304,35.0,5,organisateurs@andalusia-tour.es,"(1,9,12,15,11,2,14,34,35,69,123)",vueltaandalucia,cont_2hc,0.0,2,0,801,2,0,,0,1,0
305,Giro di Laigueglia,Laigue,c0_laigueglia,2,16,1305,1305,15.0,1,organisateurs@trofeo-laigueglia.it,"(11,3,12,34,6,2,16,81,102,70,160)",girolaigueglia,cont_1hc,0.0,9,0,0,3,0,,0,1,0
309,Vuelta a Valenciana,Valen,t1_valenciana,8,10,1309,5309,35.0,5,organisateurs@valenciana.es,"(16,13,33,20,1,11,37,2,102,81,100,92,35,70,97,123,42)",voltavalenciana,cont_2hc,0.0,2,0,810,2,0,,0,1,0
311,GP Murcia,Murcia,t1_murcia,8,11,1311,2311,25.0,2,organisateurs@murcia-vuelta.es,"(97,13,16,10,12,1,9,70,69,81,60,25,107,100,35,92)",murcia,cont_21,0.0,5,0,817,1,0,,0,1,0
314,GP van Nokere,Nokere,c0_nokere,4,16,1314,1314,15.0,1,organisateurs@nokere-koerse.be,"(10,9,6,2,14,15,69,35,33,59,99,107)",gpvannokere,cont_1hc,0.0,15,0,0,3,0,,0,1,0
316,GP de Cholet,Cholet,c1_cholet,3,17,1316,1316,15.0,1,organisateurs@cholet-pdl.fr,"(3,6,25,34,59,68,9,107,69,124,126)",cholet,cont_11,0.0,15,0,0,3,0,,0,1,0
317,GP Waregem,Wareg,topclas_dwarsvlaanderen,4,9,1317,1317,50.0,1,organisateurs@atravers-flandres.be,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99)",kortrijkwaregem,top_classiques_autres,0.0,12,0,0,3,0,,0,1,0
318,Brabantse Prijs,Braban,c0_brabantseprijs,4,16,1318,1318,40.0,1,organisateurs@brabantse-pijl.be,"(10,37,9,13,34,5,14,16,42,69,97,125,107,99,25,35,70,123)",brabantseprijs,cont_1hc,0.0,9,0,0,3,0,,0,1,0
319,GP De Panne,Panne,topclas_panne,4,9,1319,1319,45.0,1,organisateurs@de-panne.be,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99)",3panne,top_classiques_autres,0.0,17,0,0,3,0,,0,1,0
320,GP del Navarra,Navarr,c1_navarra,8,16,1320,1320,15.0,1,organisateurs@gp-indurain.es,"(1,2,5,20,35,42,92,38,105,109)",gpnavarra,cont_1hc,0.0,14,0,0,3,0,,0,1,0
322,GP Ciremi,Ciremi,c1_cerami,4,18,1322,1322,15.0,1,organisateurs@gp-pino.be,"(9,10,69,81,68,59,110,237,242,215)",ciremi,cont_12,0.0,17,0,0,3,0,,0,1,0
324,Paris - Vimoutiers,Vimout,c1_pariscamembert,3,17,1324,1324,20.0,1,organisateurs@paris-camenbert.fr,"(3,6,25,34,68,59,69,124,126,100,81,35,70,107)",parisvimoutiers,cont_11,0.0,10,0,0,3,0,,0,1,0
325,Circuito del Trentino,Alps,t0_alps,2,10,1325,5325,45.0,5,organisateurs@tour-alps.it,"(2,3,12,33,5,6,37,81,35,114,103)",trentino,cont_2hc,0.0,18,0,205,2,0,,0,1,0
328,Coppa dell'Appennino,Appeni,c1_appennino,2,17,1328,1328,15.0,1,organisateurs@giro-appennino.it,"(5,11,12,2,16,13,81,102,103)",appenino,cont_11,0.0,10,0,0,3,0,,0,1,0
334,Tour de la Belgique,TBelge,t0_belgique,4,10,1334,5334,35.0,5,organisateurs@belgique-tour.be,"(9,10,69,37,14,15,3,34,42,25,107,102,123,110,116,140,158)",tourbelgique,cont_2hc,0.0,6,1,0,3,0,,0,1,0
335,GP du Luxembourg,Luxem,t0_luxembourg,19,10,1335,5335,30.0,5,organisateurs@luxembourg-tour.com,"(5,3,16,37,13,6,1,11,10,14,9,97,69,107,25,125,99,102,112)",tourluxembourg,cont_2hc,0.0,4,1,0,3,0,,0,1,0
338,Köln Rundfahrt,KolnR,c1_koln,7,17,1338,1338,10.0,1,organisateurs@gp-koln.de,"(15,33,69,162,40,114,11,9,10,152,160)",kolnrundfahrt,cont_11,0.0,9,0,0,3,0,,0,1,0
343,La Route Wallonne,Wall,t0_wallonie,4,10,1343,5343,30.0,5,organisateurs@wallonne-tour.be,"(37,13,34,6,2,9,11,1,33,20,42,69,25,99,81,110)",trw,cont_2hc,0.0,5,0,0,3,0,,0,1,0
344,GP de Normandie,Norman,c1_normandie,3,17,1344,1344,15.0,1,organisateurs@polynormande.fr,"(3,6,25,34,59,68,9,107,69,124,126)",normandie,cont_11,0.0,9,0,0,3,0,,0,1,0
348,GP Agostini,Agost,c1_agostoni,2,17,1348,1348,15.0,1,organisateurs@coppa-agostoni.it,"(5,11,12,2,16,13,81,102,103)",agostini,cont_11,0.0,9,0,0,3,0,,0,1,0
359,GP de Pologne,Gp Pol,top_pologne,30,4,1359,7359,50.0,7,organisateurs@tour-pologne.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99)",tourpologne,top_pologne,0.0,5,1,0,4,0,,0,1,0
365,Trofeo Sabatini,Sabat,c1_sabatini,2,16,1365,1365,10.0,1,organisateurs@coppa-sabatini.it,"(5,11,12,2,16,13,81,102,103)",trofeosabatini,cont_1hc,0.0,9,0,0,3,0,,0,1,0
374,Campeonato de España,N-ESP,nat-esp,8,22,1374,1374,50.0,1,organisateurs@espana.es,(),champ_spain,default,0.0,9,0,0,3,0,,0,1,0
375,Campione d'Italia,N-ITA,nat-ita,2,22,1375,1375,50.0,1,organisateurs@italia.it,(),champ_italy,default,0.0,9,0,0,3,0,,0,1,0
376,Championnats de Belgique,N-BEL,nat-bel,4,22,1376,1376,50.0,1,organisateurs@belgique.be,(),champ_belgium,default,0.0,9,0,0,3,0,,0,1,0
377,Nederlands Kampioenschap,N-NED,nat-ned,5,22,1377,1377,50.0,1,organisateurs@ned-ch.nl,(),champ_netherlands,default,0.0,9,0,0,3,0,,0,1,0
378,Deutsche Meisterschaft,N-DE,nat-deu,7,22,1378,1378,50.0,1,organisateurs@dmeisterschaft.de,(),champ_germany,default,0.0,9,0,0,3,0,,0,1,0
380,GP de Vitré,Vitré,c1_vitre,3,17,1380,1380,10.0,1,organisateurs@routeadelie.fr,"(3,6,25,34,99,107,35,70,100,123,81,68,59,124,126)",gpvitre,cont_11,0.0,10,0,0,3,0,,0,1,0
381,Tour d'Occitanie,Occit,t1_occitanie,3,11,1381,3381,25.0,3,organisateurs@routeoccitanie.fr,"(34,3,6,5,25,107,92,35,70,100,102,81,124,126,59,68)",occitanie,cont_21,0.0,18,0,0,3,0,,0,1,0
388,Clasica Andalucia,C Anda,c1_clasicajaen,8,17,1388,1388,20.0,1,organisateurs@clasicajaen.es,"(16,1,13,33,10,35,92,97,70,81,107,69,100,105)",clasicajaen,cont_11,0.0,10,0,0,4,0,,0,1,0
389,O Gran Camiño,G Cami,t1_grancamino,8,11,1389,5389,10.0,5,organisateurs@grancamino.es,"(1,6,14,34,42,35,70,81,92,100,102,105,109)",grancamino,cont_21,0.0,2,0,0,3,0,,0,1,0
391,GP da Arrabida,Arrabi,c2_classicaarrabida,29,18,1391,1391,2.0,1,organisateurs@classicaarrabia.pt,"(16,68,38,35,70,105,109,100,42,216)",classicaarrabia,cont_12,0.0,10,0,0,3,0,,0,1,0
392,GP Besançon,Besan,c1_classicgdbesandoubs,3,17,1392,1392,15.0,1,organisateurs@classicgdbesancon.fr,"(6,14,3,34,70,107,35,92,99,100,25,124,126,59,68,112,166)",classicgdbesancon,cont_11,0.0,10,0,0,3,0,,0,1,0
396,Herning Classic,Hernin,c2_herning,10,18,1396,1396,5.0,1,organisateurs@gpherning.dk,"(99,147,150,162,110,161,135,152,164)",gpherning,cont_12,0.0,15,0,0,3,0,,0,1,0
397,GP Fyen,GPFyen,c2_fyenrundt,10,18,1397,1397,5.0,1,organisateurs@fyenrundt.dk,"(99,147,150,162,110,161,135,152,164)",fyenrundt,cont_12,0.0,15,0,0,3,0,,0,1,0
403,GP Pantaloni,Pantal,c1_pantaloni,2,17,1403,1403,10.0,1,organisateurs@gppantaloni.it,"(12,34,2,20,16,93,102,100,81,97,25,104,103,160)",gppantaloni,cont_11,0.0,10,0,0,3,0,,0,1,0
404,GP Matteotti,Matteo,c1_matteotti,2,17,1404,1404,10.0,1,organisateurs@gpmatteotti.it,"(12,34,2,20,16,93,102,100,81,97,25,104,103,160)",gpmatteotti,cont_11,0.0,10,0,0,3,0,,0,1,0
405,Classique de Québec,Québec,topclas_quebec,22,7,1405,1405,75.0,1,organisateurs@gpquebec.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,97,125)",gpquebec,top_classiques_autres,0.0,10,0,2201,5,0,,0,1,0
406,Classique de Montréal,Montré,topclas_montreal,22,7,1406,1406,75.0,1,organisateurs@gpmontreal.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,97,125)",gpmontreal,top_classiques_autres,0.0,10,0,2201,5,0,,0,1,0
407,Limburg Classic,Limbu,c1_mergelland,5,17,1407,1407,20.0,1,organisateurs@gpmergelland.nl,"(42,107,69,110,140,146,158,215,214)",gpmergelland,cont_11,0.0,9,0,0,3,0,,0,1,0
408,Tour of Turkey,Turkey,t0_turkey,71,10,1408,8408,15.0,8,organisateurs@tourofturkey.com,"(10,12,16,25,33,37,69,35,92,100,40,38)",tourofturkey,cont_2hc,0.0,5,1,0,4,0,,0,1,0
409,Veenendaal Classic,Veene,c1_veenendaal,5,17,1409,1409,25.0,1,organisateurs@dutchclassic.nl,"(15,9,10,14,2,81,69,110,140)",dutchvalleyclassic,cont_11,0.0,15,0,0,3,0,,0,1,0
410,Tour de Bretagne,Bretag,t2_bretagne,3,12,1410,7410,9.0,7,organisateurs@tourbretagne.fr,"(237,126,124,203,209,210,215,206,135,68,147)",tourbretagne,cont_22,0.0,5,0,0,2,0,,0,1,0
414,Ringerike Classic,Ringer,c2_nor-ringerike,35,18,1414,1414,8.0,1,organisateurs@ringerike.no,"(99,147,150,162,110,161,135,152,164)",ringerike,cont_12,0.0,9,0,0,3,0,,0,1,0
415,Sundvolden Classic,Sundv,c2_nor-hadeland,35,18,1415,1415,5.0,1,organisateurs@sundvoldengp.no,"(99,147,150,162,110,161,135,152,164)",hadeland,cont_12,0.0,9,0,0,3,0,,0,1,0
419,GP de la Solidarité,Solida,t2_solidarnosc,30,12,1419,4419,5.0,4,organisateurs@solidarnosc.pl,"(99,58,50,106,112,140,161,162,215,214)",solidarnosc,cont_22,0.0,4,0,0,1,0,,0,1,0
449,Denmark championships (ITT),Ntt-DK,natitt-den,10,23,1449,1449,40.0,1,,(),champ_danemark_itt,default,0.0,13,0,0,3,0,,0,1,0
450,Norway championships,N-NO,nat-nor,35,22,1450,1450,35.0,1,,(),champ_norway,default,0.0,9,0,0,3,0,,0,1,0
451,Norway championships (ITT),Ntt-NO,natitt-nor,35,23,1451,1451,35.0,1,,(),champ_norway_itt,default,0.0,13,0,0,3,0,,0,1,0
501,Cyanide Cup 1,Cya1,c3_cya-1,3,26,1501,1501,0.0,1,organisateurs@cyanide-studio.com,"(35,70,99,102,50,68,110,124,150,158)",cyanidecup1,cont_11,0.0,15,0,0,3,0,,0,1,0
502,Cyanide Cup 2,Cya2,c3_cya-2,3,26,1502,1502,0.0,1,organisateurs@cyanide-studio.com,"(35,70,99,102,50,68,110,124,150,158)",cyanidecup2,cont_11,0.0,15,0,0,3,0,,0,1,0
503,Cyanide Cup 3,Cya3,c3_cya-3,3,26,1503,1503,0.0,1,organisateurs@cyanide-studio.com,"(35,70,99,102,50,68,110,124,150,158)",cyanidecup3,cont_11,0.0,10,0,0,3,0,,0,1,0
551,Geelong Oceania Race,Geelo,topclas_greatocean,20,9,1551,1551,40.0,1,organisateurs@greatoceanrace.com.au,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99)",greatoceanroadrace,top_classiques_autres,0.0,9,0,0,5,0,,0,1,0
552,Classica Andorra,Andorr,c1_andorra,64,17,1552,1552,15.0,1,organisateurs@andorra-classic.com,"(1,5,6,11,14,34,35,70,81,92,100,102,105)",andorraclassica,cont_11,0.0,14,0,0,3,0,,0,1,0
557,GP van Limburg,GPLim,c1_rondelimburg,4,17,1557,1557,15.0,1,organisateurs@rvlimburg.be,"(9,10,14,107,69,37,34,59,158,140,146,110)",rondevanlimburg,cont_11,0.0,15,0,0,3,0,,0,1,0
560,Oberösterreichrundfahrt,Obero,t2_oberosterreich,37,12,1560,4560,5.0,4,organisateurs@oberosterreich.at,"(50,152,114,58,40,112,162,106)",oberosterreich,cont_22,0.0,5,0,0,3,0,,0,1,0
563,Tour of Malopolska,Malop,t2_tourofmalopolska,30,12,1563,4563,2.0,4,organisateurs@tour-malopolska.pl,"(99,58,50,106,112,140,161,162,215,214)",tourofmalopolska,cont_22,0.0,5,0,0,3,0,,0,1,0
565,Kampioenschap van Vlaanderen,KVlaa,c1_kampvlaanderen,4,17,1565,1565,5.0,1,organisateurs@kampioenschapvlaan.be,"(9,6,15,5,11,34,69,107,110,106)",kampvlaanderen,cont_11,0.0,15,0,0,3,0,,0,1,0
566,GP Morvedre,Morved,c1_morvedre,8,17,1566,1566,10.0,1,organisateurs@classicamorvedre.es,"(1,10,12,13,16,20,25,34,70,81,92,100,102,103,107,59,105,126)",classicamorvedre,cont_11,0.0,23,0,0,3,0,,0,1,0
567,Classica Castellón,Castel,c1_castellonceramica,8,17,1567,1567,10.0,1,organisateurs@castellonceramica.es,"(1,10,12,13,16,20,25,34,70,81,92,100,102,103,107,59,105,126)",castellonceramica,cont_11,0.0,10,0,0,3,0,,0,1,0
568,Gooikse Pijl,GPijl,c2_gooiksepijl,4,17,1568,1568,5.0,1,organisateurs@gooiksepijl.be,"(215,209,203,207,206,242,213,214,150,135)",gooiksepijl,cont_11,0.0,15,0,0,3,0,,0,1,0
569,GP València,GPVale,c1_classicavalenciana,8,17,1569,1569,10.0,1,organisateurs@classicavalenciana.es,"(102,3,34,20,1,92,81,25,100,35,42,9)",classicavalenciana,cont_11,0.0,9,0,0,3,0,,0,1,0
571,Torres Vedras Tour,TVedr,t2_gptorresvedras,29,12,1571,3571,5.0,3,organisateurs@gptorresvedras.pt,"(35,70,92,100,38,96,105,109,242)",gptorresvedras,cont_22,0.0,4,0,0,3,0,,0,1,0
572,Sibiu Tour,Sibiu,t1_sibiutour,104,11,1572,4572,5.0,4,organisateurs@sibiutour.ro,"(33,9,99,93,81,97,107,237,147,42,146,58,152,160)",sibiutour,cont_21,0.0,3,0,0,1,0,,0,1,0
573,Giro U23,GiroU,t2u_girociclisto,2,13,1573,7573,10.0,7,organisateurs@girociclisto.it,"(203,233,211,201,213,215,205,202,210,225,214,216,212,206,209,237,135,104,160)",girociclisto,cont_22,0.0,2,0,0,3,0,,0,1,0
575,GP du Jura,GJura,c1_jura,3,17,1575,1575,10.0,1,organisateurs@tourdujura.com,"(3,6,34,25,59,68,107,58,209,146,114,162,124,210)",tourdujura,cont_11,0.0,10,0,0,2,0,,0,1,0
576,GP Larciano,Larci,c0_industriaprato,2,16,1576,1576,15.0,1,organisateurs@gpindustria-artigianato.it,"(5,11,12,2,16,13,81,102,103)",industriaartigianato,cont_1hc,0.0,10,0,0,3,0,,0,1,0
580,Deutschland Rundfahrt,Deuts,t1_deutschland,7,10,1580,5580,35.0,5,organisateurs@deutschlandtour.de,"(10,15,3,2,33,14,37,152,40,114)",deutschlandtour,cont_2hc,0.0,4,1,0,3,0,,0,1,0
581,Circuit Laguna,Lagun,c2_laguna,44,18,1581,1581,8.0,1,organisateurs@lacunagp.hr,"(81,50,112,114,113,162,58,96,214)",gplacuna,cont_12,0.0,9,0,0,3,0,,0,1,0
583,GP Palio del Recioto,Palio,c2u_gppalio,2,19,1583,1583,5.0,1,organisateurs@gppalio.it,"(81,104,212,135,114,209,213,233,160,214,216)",gppalio,cont_12,0.0,10,0,0,3,0,,0,1,0
585,Tour of Croatia,Croat,t1_croatia,44,10,1585,6585,25.0,6,organisateurs@tourcroatia.hr,"(13,11,12,35,37,42,123,81,50)",tourcroatia,cont_2hc,0.0,3,1,0,1,0,,0,1,0
586,Vuelta Asturias,Astur,t1_asturias,8,11,1586,3586,20.0,3,organisateurs@vuelta-asturias.es,"(1,35,38,92,102,95,100,123,109)",vueltaasturias,cont_21,0.0,18,0,803,2,0,,0,1,0
588,GP of Guangxi,Guang,top_guangxi,25,5,1588,6588,30.0,6,organisateurs@tourofguangxi.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99)",tourofguangxi,top_pologne,0.0,5,0,0,5,0,,0,1,0
589,Rhodes Grand Prix,RhoGP,c2_rhodesgp,60,18,1589,1589,5.0,1,organisateurs@rhodesgp.com,"(150,212,213,106,160,161,162,163,205,135)",rhodesgp,cont_12,0.0,15,0,0,3,0,,0,1,0
590,Tour of Rhodes,RhoTo,t2_rhodestour,60,12,1590,4590,5.0,4,organisateurs@rhodestour.com,"(150,212,213,106,160,161,162,163,205,135)",rhodestour,cont_22,0.0,16,0,0,3,0,,0,1,0
591,Circuit de Lillers,Llers,c2_gplillers,3,18,1591,1591,2.0,1,organisateurs@gplillers.fr,"(40,42,58,59,68,69,107,99,237,209,110)",gplillers,cont_12,0.0,15,0,0,3,0,,0,1,0
593,GP Roeselare,Roese,c1_gproeselare,4,17,1593,1593,5.0,1,organisateurs@gproeselare.be,"(9,25,69,42,107,140,146,34,99,13,12,35,70)",gpmonsere,cont_11,0.0,15,0,0,3,0,,0,1,0
595,Abruzzo Tour,Abruzz,t1_sicilia,2,11,1595,4595,15.0,4,organisateurs@girodisicilia.it,"(16,93,81,35,25,42,152,102,160,103)",girodisicilia,cont_21,0.0,18,0,219,2,0,,0,1,0
596,GP du Tourangeau,Touran,c1_rouetourangelle,3,17,1596,1596,10.0,1,organisateurs@rouetourangelle.fr,"(3,6,25,34,42,59,68,107,69,35,40)",rouetourangelle,cont_11,0.0,9,0,0,3,0,,0,1,0
598,Route Poitou-Charentes,Poitou,t1_poitoucharentes,3,11,1598,5598,15.0,5,organisateurs@tpoitoucharentes.fr,"(25,3,6,34,211,68,59,123,124,126,146,107,81,102)",tpoitoucharentes,cont_21,0.0,8,0,320,1,0,,0,1,0
599,Classique du Mercantour,Mercan,c1_mercantour,3,17,1599,1599,20.0,1,organisateurs@mercantourclassic.fr,"(3,6,34,25,59,68,15,35,99,135,114)",mercantourclassic,cont_11,0.0,14,0,0,3,0,,0,1,0
601,Trofeo PIVA,uPiva,c2u_trofeopiva,2,19,1601,1601,2.0,1,organisateurs@trofeopiva.it,"(215,209,203,207,206,242,213,214,150,135)",trofeopiva,cont_12,0.0,10,0,0,3,0,,0,1,0
602,Giro Belvedere di Villa di Cordignano,uBelve,c2u_girobelvedere,2,19,1602,1602,2.0,1,organisateurs@girobelvedere.it,"(215,209,203,207,206,242,213,214,150,135)",girobelvedere,cont_12,0.0,10,0,0,3,0,,0,1,0
604,Gran Premio della Liberazione,ULibe,c2u_gpliberazione,2,19,1604,1604,2.0,1,organisateurs@gpdellaliberazione.it,"(215,209,203,207,206,242,213,214,150,135)",gpdellaliberazione,cont_12,0.0,9,0,0,3,0,,0,1,0
607,Trofej Umag - Umag Trophy,Umag,c2_umagtrophy,44,18,1607,1607,2.0,1,organisateurs@trofejumag.com,"(215,209,203,207,206,242,213,214,150,135)",trofejumag,cont_12,0.0,10,0,0,3,0,,0,1,0
609,Rabobank Dorpenomloop Rucphen,RaboD,c2_rabodorpen,5,18,1609,1609,2.0,1,organisateurs@rabodorpenomloop.nl,"(215,209,203,207,206,242,213,214,150,135)",rabodorpenomloop,cont_12,0.0,10,0,0,3,0,,0,1,0
613,Tour du Loir et Cher E Provost,LoirC,t2_tourloiretcher,3,12,1613,5613,2.0,5,organisateurs@loiretcher.fr,"(215,209,203,207,206,242,213,214,150,135)",loiretcher,cont_22,0.0,5,0,0,2,0,,0,1,0
614,U23 Koksijde Challenge,U23Kok,c2u_youngcoast,4,19,1614,1614,2.0,1,organisateurs@youngstercoastchallenge.be,"(215,209,203,207,206,242,213,214,150,135)",youngcoastchallenge,cont_12,0.0,17,0,0,3,0,,0,1,0
615,Rund um den Finanzplatz U23,FrkU23,c2u_gpfrankfurt,7,19,1615,1615,2.0,1,organisateurs@frankfurt-gp.de,"(215,209,203,207,206,242,213,214,150,135)",rundumu23,cont_12,0.0,10,0,0,3,0,,0,1,0
618,Paris - Roubaix Espoirs,RouU23,c2u_roubaix,3,19,1618,1618,10.0,1,organisateurs@parisroubaix-u23.fr,"(215,209,203,207,206,242,213,214,150,135)",parisroubaixu23,cont_12,0.0,11,0,0,3,0,,0,1,0
619,Paris - Tours Espoirs,TouU23,c2u_paristours,3,19,1619,1619,5.0,1,organisateurs@paristours-u23.fr,"(215,209,203,207,206,242,213,214,150,135)",paristoursu23,cont_12,0.0,15,0,0,3,0,,0,1,0
620,European Championships,Euro,euro,3,33,1620,1620,75.0,1,organisateurs@euro-ch.org,(),eurochampionship,default,0.0,14,0,0,3,0,,0,1,0
621,European Championships ITT,EuroTT,euroitt,3,34,1621,1621,70.0,1,organisateurs@euro-ch.org,(),eurochampionshipitt,default,0.0,13,0,0,3,0,,0,1,0
